period,openings,hires,quits,layoffs,separations,employment
2015-01-01,5344,5061,2764,1789,4886,140568
2015-02-01,5466,5127,2741,1757,4869,140827
2015-03-01,5210,5126,2754,1973,5102,140923
2015-04-01,5598,5196,2705,1856,4944,141196
2015-05-01,5563,5142,2743,1711,4825,141538
2015-06-01,5248,5125,2756,1821,4978,141709
2015-07-01,6056,5150,2764,1703,4848,141991
2015-08-01,5467,5163,2879,1773,5032,142125
2015-09-01,5488,5287,2778,1964,5110,142275
2015-10-01,5773,5338,2810,1845,5032,142579
2015-11-01,5708,5358,2897,1779,5089,142808
2015-12-01,5845,5540,3056,1803,5225,143077
2016-01-01,6012,5220,2875,1805,5099,143210
2016-02-01,5770,5470,2994,1894,5265,143406
2016-03-01,6129,5359,2917,1850,5133,143662
2016-04-01,5803,5294,2955,1771,5110,143854
2016-05-01,5777,5197,3009,1825,5176,143900
2016-06-01,5742,5281,3018,1750,5118,144147
2016-07-01,5962,5426,2967,1759,5065,144520
2016-08-01,5677,5327,2998,1860,5204,144661
2016-09-01,5868,5306,3047,1588,4985,144967
2016-10-01,5591,5210,3074,1664,5125,145065
2016-11-01,5971,5308,3026,1751,5139,145183
2016-12-01,5964,5343,2989,1708,5071,145408
2017-01-01,5617,5499,3188,1745,5320,145628
2017-02-01,5923,5350,3089,1711,5176,145846
2017-03-01,5811,5395,3150,1762,5280,145970
2017-04-01,6091,5272,3028,1710,5091,146175
2017-05-01,5826,5477,3111,1794,5270,146380
2017-06-01,6305,5635,3154,1970,5463,146583
2017-07-01,6238,5497,3097,1910,5338,146772
2017-08-01,6276,5519,3103,1868,5334,146919
2017-09-01,6320,5450,3190,1787,5289,147008
2017-10-01,6408,5581,3219,1837,5397,147149
2017-11-01,6271,5494,3186,1747,5283,147372
2017-12-01,6336,5421,3222,1732,5249,147523
2018-01-01,6621,5512,3019,1932,5288,147660
2018-02-01,6552,5624,3222,1771,5319,148054
2018-03-01,6818,5623,3323,1795,5500,148280
2018-04-01,6877,5590,3370,1727,5441,148420
2018-05-01,7016,5859,3382,1775,5492,148742
2018-06-01,7230,5760,3382,1822,5566,148960
2018-07-01,7190,5649,3426,1806,5577,149020
2018-08-01,7208,5815,3423,1803,5543,149277
2018-09-01,7411,5625,3391,1764,5494,149358
2018-10-01,7304,5907,3458,1813,5602,149527
2018-11-01,7594,5826,3511,1938,5793,149617
2018-12-01,7489,5768,3407,1839,5554,149809
2019-01-01,7502,5786,3517,1705,5549,150060
2019-02-01,7066,5704,3547,1763,5653,150067
2019-03-01,7317,5689,3529,1690,5543,150295
2019-04-01,7272,6016,3501,1963,5777,150591
2019-05-01,7275,5686,3472,1775,5556,150618
2019-06-01,7194,5801,3474,1780,5574,150838
2019-07-01,7042,5871,3654,1833,5839,150937
2019-08-01,7178,5900,3540,1808,5657,151169
2019-09-01,7124,5963,3447,1970,5755,151365
2019-10-01,7289,5781,3452,1819,5631,151460
2019-11-01,6888,5847,3541,1782,5675,151667
2019-12-01,6699,5951,3487,1931,5771,151794
2020-01-01,7124,5981,3563,1808,5741,152031
2020-02-01,6966,5990,3497,1954,5764,152293
2020-03-01,5894,5171,2933,12985,16275,150895
2020-04-01,4606,4029,1991,9170,11531,130426
2020-05-01,5612,8133,2259,2139,4718,133040
2020-06-01,6129,7477,2594,2245,5176,137671
2020-07-01,6530,6320,3020,1827,5191,139255
2020-08-01,6429,6004,2931,1560,4813,140821
2020-09-01,6511,5966,3185,1567,5123,141770
2020-10-01,6798,6091,3311,1697,5356,142460
2020-11-01,6820,5894,3209,2097,5631,142733
2020-12-01,6773,5577,3369,1906,5601,142548
2021-01-01,7162,5598,3292,1567,5145,142863
2021-02-01,7827,5813,3373,1628,5329,143380
2021-03-01,8499,6158,3654,1500,5488,144232
2021-04-01,9346,6138,3943,1402,5699,144587
2021-05-01,9954,5981,3817,1351,5515,145065
2021-06-01,10319,6535,4017,1335,5741,145820
2021-07-01,10983,6720,4059,1410,5818,146762
2021-08-01,10872,6394,4171,1332,5875,147314
2021-09-01,10834,6632,4354,1411,6118,147771
2021-10-01,11238,6678,4153,1313,5856,148572
2021-11-01,11199,6911,4453,1348,6192,149230
2021-12-01,11520,6686,4314,1403,6103,149816
2022-01-01,11210,6431,4413,1423,6247,150006
2022-02-01,11698,6801,4233,1401,5986,150825
2022-03-01,12301,6619,4447,1377,6181,151315
2022-04-01,11861,6528,4499,1312,6138,151623
2022-05-01,11535,6440,4237,1500,6079,151924
2022-06-01,11283,6487,4165,1528,6039,152358
2022-07-01,11576,6478,4031,1462,5839,153072
2022-08-01,10092,6448,4258,1606,6238,153362
2022-09-01,10800,6201,4134,1445,5886,153582
2022-10-01,10447,6151,3956,1553,5784,153939
2022-11-01,10632,6180,4083,1472,5881,154242
2022-12-01,10902,6163,4125,1535,6004,154342
2023-01-01,10318,6370,3839,1767,5885,154776
2023-02-01,9857,5989,3917,1535,5767,155066
2023-03-01,9655,5925,3800,1903,5984,155134
2023-04-01,9966,5876,3617,1654,5570,155375
2023-05-01,9368,6119,3999,1540,5840,155655
2023-06-01,9180,5928,3693,1658,5680,155880
2023-07-01,8657,5672,3552,1677,5564,156043
2023-08-01,9254,5846,3621,1675,5651,156261
2023-09-01,9259,5773,3644,1531,5507,156417
2023-10-01,8580,5765,3574,1623,5530,156576
2023-11-01,8602,5535,3576,1554,5494,156703
2023-12-01,8520,5583,3412,1685,5430,156857
2024-01-01,8378,5591,3347,1641,5367,157032
2024-02-01,8440,5618,3482,1692,5513,157238
2024-03-01,8206,5452,3289,1647,5265,157466
2024-04-01,7529,5469,3438,1548,5370,157530
2024-05-01,7782,5492,3386,1747,5424,157608
2024-06-01,7416,5137,3280,1497,5082,157695
2024-07-01,7426,5430,3359,1711,5390,157748
2024-08-01,7520,5204,3240,1683,5226,157757
2024-09-01,6943,5427,3123,1780,5160,157912
2024-10-01,7379,5228,3215,1650,5137,157945
2024-11-01,7566,5155,3050,1831,5156,158079
2024-12-01,7295,5292,3085,1689,5049,158316
