airport,year,hour,flights,mean_dep_delay_minutes,mean_taxi_out
ATL,2023,0,11,50.444,16.556
ATL,2023,5,1845,12.349,15.494
ATL,2023,6,8975,9.54,15.62
ATL,2023,7,15887,8.479,16.948
ATL,2023,8,27318,7.189,16.553
ATL,2023,9,24266,8.732,16.528
ATL,2023,10,21437,9.568,16.999
ATL,2023,11,21135,9.957,15.376
ATL,2023,12,17772,10.129,14.293
ATL,2023,13,16125,10.071,14.195
ATL,2023,14,16061,12.204,15.061
ATL,2023,15,23483,13.391,16.064
ATL,2023,16,19558,16.678,15.99
ATL,2023,17,17113,17.051,16.304
ATL,2023,18,16112,19.697,16.615
ATL,2023,19,19875,19.459,16.343
ATL,2023,20,18739,19.642,16.338
ATL,2023,21,19887,18.607,15.687
ATL,2023,22,25168,18.188,15.785
ATL,2023,23,5696,27.02,16.506
ATL,2024,5,2024,12.306,14.973
ATL,2024,6,6579,8.213,15.172
ATL,2024,7,13977,7.508,17.294
ATL,2024,8,27894,7.176,17.403
ATL,2024,9,24900,8.862,16.862
ATL,2024,10,20305,10.739,18.337
ATL,2024,11,24026,11.009,15.864
ATL,2024,12,18616,11.485,14.668
ATL,2024,13,17687,11.646,14.65
ATL,2024,14,16960,12.605,14.986
ATL,2024,15,24707,14.351,16.7
ATL,2024,16,19728,16.328,16.203
ATL,2024,17,17681,17.517,16.234
ATL,2024,18,16254,19.296,16.485
ATL,2024,19,22240,18.863,17.307
ATL,2024,20,16718,19.006,17.102
ATL,2024,21,22033,18.822,16.958
ATL,2024,22,25852,17.631,16.352
ATL,2024,23,3729,19.406,16.735
AUS,2023,5,4189,6.34,13.675
AUS,2023,6,6755,8.141,15.036
AUS,2023,7,6772,9.535,16.128
AUS,2023,8,5557,13.051,15.019
AUS,2023,9,5459,11.627,14.319
AUS,2023,10,5129,12.306,14.128
AUS,2023,11,4577,13.035,13.742
AUS,2023,12,5893,14.081,14.572
AUS,2023,13,5529,14.435,14.656
AUS,2023,14,6069,16.727,15.154
AUS,2023,15,5907,17.863,14.953
AUS,2023,16,6450,19.84,15.573
AUS,2023,17,5248,21.825,15.591
AUS,2023,18,5517,23.333,15.125
AUS,2023,19,5631,22.602,14.676
AUS,2023,20,3800,25.545,13.851
AUS,2023,21,3072,24.198,12.951
AUS,2023,22,1228,24.383,12.558
AUS,2023,23,31,56.633,13.7
AUS,2024,5,3429,5.812,13.949
AUS,2024,6,6451,8.014,14.956
AUS,2024,7,6137,9.502,16.123
AUS,2024,8,4784,11.661,15.16
AUS,2024,9,3994,12.987,14.609
AUS,2024,10,4645,13.602,14.823
AUS,2024,11,4293,13.532,14.603
AUS,2024,12,5864,14.24,14.923
AUS,2024,13,5326,16.733,15.174
AUS,2024,14,5991,17.716,15.592
AUS,2024,15,6437,24.608,16.043
AUS,2024,16,6444,24.189,15.798
AUS,2024,17,5005,26.485,15.217
AUS,2024,18,5450,26.166,15.26
AUS,2024,19,4889,25.366,14.587
AUS,2024,20,3416,22.787,13.307
AUS,2024,21,1776,24.224,12.268
AUS,2024,22,977,30.152,14.759
AUS,2024,23,36,19.444,14.0
BNA,2023,5,3865,7.707,14.211
BNA,2023,6,7372,8.023,17.387
BNA,2023,7,7769,8.946,16.607
BNA,2023,8,6392,7.745,15.598
BNA,2023,9,4160,8.426,15.003
BNA,2023,10,8221,8.758,16.2
BNA,2023,11,4995,13.203,14.43
BNA,2023,12,5387,10.879,14.699
BNA,2023,13,5141,13.195,14.903
BNA,2023,14,5096,15.454,14.763
BNA,2023,15,4960,18.342,14.702
BNA,2023,16,5461,21.389,15.923
BNA,2023,17,6505,22.294,16.749
BNA,2023,18,5612,22.451,15.374
BNA,2023,19,6634,21.09,14.921
BNA,2023,20,3568,22.843,13.892
BNA,2023,21,3623,19.862,13.418
BNA,2023,22,1728,24.867,12.54
BNA,2024,5,3759,9.149,16.064
BNA,2024,6,7581,9.584,17.018
BNA,2024,7,7615,8.463,16.878
BNA,2024,8,6563,8.388,15.826
BNA,2024,9,5234,9.799,14.918
BNA,2024,10,7691,9.821,15.946
BNA,2024,11,4869,12.043,14.828
BNA,2024,12,6163,10.966,14.558
BNA,2024,13,5222,14.108,14.68
BNA,2024,14,6100,16.308,14.934
BNA,2024,15,5861,17.814,15.068
BNA,2024,16,5908,19.079,16.147
BNA,2024,17,6349,21.976,16.524
BNA,2024,18,6840,20.895,16.405
BNA,2024,19,6289,24.624,15.425
BNA,2024,20,3915,20.917,13.679
BNA,2024,21,2791,24.654,12.733
BNA,2024,22,1470,19.42,12.866
BOS,2023,0,1,0.0,14.0
BOS,2023,5,4482,7.359,16.709
BOS,2023,6,11706,8.697,20.264
BOS,2023,7,13702,10.312,22.222
BOS,2023,8,11406,14.73,21.42
BOS,2023,9,8679,14.346,19.388
BOS,2023,10,6867,16.177,18.031
BOS,2023,11,7416,14.426,18.111
BOS,2023,12,7406,15.364,17.902
BOS,2023,13,6629,16.455,18.886
BOS,2023,14,7397,18.067,19.306
BOS,2023,15,8443,18.159,20.13
BOS,2023,16,9207,24.745,20.904
BOS,2023,17,9581,24.819,24.17
BOS,2023,18,9231,27.518,23.206
BOS,2023,19,7823,28.236,20.619
BOS,2023,20,6739,29.134,19.376
BOS,2023,21,2737,28.931,17.704
BOS,2023,22,940,19.222,18.159
BOS,2023,23,125,31.418,16.664
BOS,2024,5,4675,5.979,16.871
BOS,2024,6,12782,6.826,21.073
BOS,2024,7,14329,8.145,21.982
BOS,2024,8,11400,11.058,21.632
BOS,2024,9,8470,11.729,19.303
BOS,2024,10,7845,13.197,18.557
BOS,2024,11,7887,11.921,18.482
BOS,2024,12,7462,13.854,18.155
BOS,2024,13,6280,14.085,18.844
BOS,2024,14,7434,16.452,18.659
BOS,2024,15,8850,19.691,20.207
BOS,2024,16,8717,20.604,22.262
BOS,2024,17,10362,22.557,23.932
BOS,2024,18,8891,24.913,23.694
BOS,2024,19,8194,24.253,21.634
BOS,2024,20,7434,28.995,19.954
BOS,2024,21,2061,25.839,16.958
BOS,2024,22,403,32.771,14.672
BOS,2024,23,14,42.714,14.357
BWI,2023,5,747,10.839,13.106
BWI,2023,6,10121,6.999,15.82
BWI,2023,7,3897,8.687,14.326
BWI,2023,8,8650,8.258,16.449
BWI,2023,9,4138,10.854,14.175
BWI,2023,10,7344,9.474,14.131
BWI,2023,11,4440,10.563,13.038
BWI,2023,12,3964,12.963,13.31
BWI,2023,13,4246,14.266,13.218
BWI,2023,14,5339,19.34,13.846
BWI,2023,15,6391,21.746,14.127
BWI,2023,16,4456,21.713,13.888
BWI,2023,17,5408,22.283,15.176
BWI,2023,18,5364,26.876,14.716
BWI,2023,19,6805,25.151,14.523
BWI,2023,20,4447,26.982,13.772
BWI,2023,21,6217,27.122,13.221
BWI,2023,22,4234,33.019,12.642
BWI,2023,23,63,29.836,12.115
BWI,2024,5,790,6.184,13.124
BWI,2024,6,8973,6.891,16.223
BWI,2024,7,3985,8.158,15.095
BWI,2024,8,9445,7.445,18.361
