airport,year,load_bin_low,flights,mean_taxi_out,mean_dep_delay_minutes,cancellation_share
ATL,2023,0.0,2158,15.535,12.933,0.01297
ATL,2023,0.1,903,16.32,19.058,0.01218
ATL,2023,0.2,3648,16.182,17.044,0.01124
ATL,2023,0.3,8109,15.632,10.051,0.01295
ATL,2023,0.4,8781,15.287,13.375,0.01036
ATL,2023,0.5,33842,15.29,14.504,0.00889
ATL,2023,0.6,73067,15.706,13.496,0.00873
ATL,2023,0.7,56840,15.988,14.647,0.00646
ATL,2023,0.8,64620,16.186,13.789,0.00729
ATL,2023,0.9,50483,16.382,14.128,0.00911
ATL,2023,1.0,26587,16.326,9.587,0.00617
ATL,2023,1.1,6977,17.218,15.274,0.01304
ATL,2023,1.2,448,15.819,15.696,0.0
ATL,2024,0.0,1897,14.973,12.778,0.01634
ATL,2024,0.1,2841,15.983,12.838,0.01021
ATL,2024,0.2,6477,15.663,12.287,0.01498
ATL,2024,0.3,4896,16.148,9.579,0.01164
ATL,2024,0.4,8791,15.958,12.58,0.0091
ATL,2024,0.5,27200,15.706,13.734,0.00614
ATL,2024,0.6,55629,15.728,13.142,0.00892
ATL,2024,0.7,56261,16.445,14.496,0.00999
ATL,2024,0.8,61891,16.65,14.641,0.01023
ATL,2024,0.9,66012,16.759,13.08,0.00901
ATL,2024,1.0,29025,17.564,14.21,0.01127
ATL,2024,1.1,17827,17.471,14.128,0.01773
ATL,2024,1.2,2877,17.217,14.152,0.00695
ATL,2024,1.3,286,16.227,21.143,0.0
AUS,2023,0.0,78,13.442,31.896,0.01282
AUS,2023,0.1,325,12.398,28.031,0.00923
AUS,2023,0.2,1215,13.118,17.561,0.02305
AUS,2023,0.3,1022,13.43,18.045,0.00783
AUS,2023,0.4,6475,13.652,17.362,0.01143
AUS,2023,0.5,7957,14.17,16.223,0.01345
AUS,2023,0.6,13890,14.463,17.903,0.01461
AUS,2023,0.7,8925,14.636,15.146,0.01345
AUS,2023,0.8,29905,14.906,15.497,0.01147
AUS,2023,0.9,15403,15.485,15.005,0.01234
AUS,2023,1.0,4410,15.37,14.059,0.01723
