airport,period,scheduled_departures,peak_hour_departures,mean_dep_delay_minutes,cancellation_share,mean_taxi_out,departures_above_p90,departures_above_p95,p90_hourly_departures,p95_hourly_departures,load
ATL,2023-01-01,26582,71.742,16.487,0.00888,16.037,130.0,22.0,68.0,73.0,0.9828
ATL,2023-02-01,24126,69.857,9.539,0.00518,15.407,67.0,1.0,68.0,73.0,0.9569
ATL,2023-03-01,28350,77.613,15.909,0.01104,15.958,458.0,239.0,68.0,73.0,1.0632
ATL,2023-04-01,27535,79.133,15.145,0.01464,15.896,516.0,216.0,68.0,73.0,1.084
ATL,2023-05-01,28740,77.581,11.632,0.00341,15.226,488.0,152.0,68.0,73.0,1.0627
ATL,2023-06-01,28685,77.633,21.083,0.013,16.935,594.0,210.0,68.0,73.0,1.0635
ATL,2023-07-01,29919,78.323,21.352,0.01377,17.041,583.0,249.0,68.0,73.0,1.0729
ATL,2023-08-01,29431,78.0,19.174,0.02195,17.402,430.0,181.0,68.0,73.0,1.0685
ATL,2023-09-01,28344,77.4,9.873,0.00303,15.463,514.0,186.0,68.0,73.0,1.0603
ATL,2023-10-01,29251,78.129,7.641,0.00144,15.455,655.0,224.0,68.0,73.0,1.0703
ATL,2023-11-01,27473,79.033,6.448,0.00036,15.254,551.0,256.0,68.0,73.0,1.0826
ATL,2023-12-01,28027,79.097,8.539,0.00086,15.515,598.0,248.0,68.0,73.0,1.0835
ATL,2024-01-01,26315,76.452,14.876,0.01034,16.435,431.0,163.0,68.0,73.0,1.0473
ATL,2024-02-01,24821,79.0,7.224,0.00085,15.714,478.0,206.0,68.0,73.0,1.0822
ATL,2024-03-01,28459,78.645,11.618,0.00271,16.062,778.0,281.0,68.0,73.0,1.0773
ATL,2024-04-01,28419,79.667,11.408,0.00201,16.399,697.0,278.0,68.0,73.0,1.0913
ATL,2024-05-01,29870,84.742,17.973,0.00579,17.184,1045.0,532.0,68.0,73.0,1.1608
ATL,2024-06-01,29361,80.9,13.828,0.00487,16.285,881.0,378.0,68.0,73.0,1.1082
ATL,2024-07-01,30072,81.129,32.624,0.05912,18.808,898.0,429.0,68.0,73.0,1.1114
ATL,2024-08-01,29480,78.871,14.609,0.01035,16.43,607.0,263.0,68.0,73.0,1.0804
ATL,2024-09-01,28247,76.5,10.603,0.00832,15.752,456.0,153.0,68.0,73.0,1.0479
ATL,2024-10-01,29837,83.839,6.957,0.00858,15.541,860.0,490.0,68.0,73.0,1.1485
ATL,2024-11-01,28015,83.133,7.821,0.00082,16.187,821.0,425.0,68.0,73.0,1.1388
ATL,2024-12-01,29014,85.516,14.617,0.00241,16.835,972.0,573.0,68.0,73.0,1.1715
AUS,2023-01-01,7425,20.871,15.891,0.03313,14.955,81.0,30.0,19.0,20.0,1.0435
AUS,2023-02-01,6763,21.321,14.505,0.03992,15.104,92.0,42.0,19.0,20.0,1.0661
AUS,2023-03-01,7820,21.419,15.15,0.011,14.56,118.0,52.0,19.0,20.0,1.071
AUS,2023-04-01,7438,19.4,18.923,0.0164,14.833,27.0,9.0,19.0,20.0,0.97
AUS,2023-05-01,7877,19.419,14.342,0.00609,14.422,29.0,7.0,19.0,20.0,0.971
AUS,2023-06-01,7728,20.6,22.461,0.01281,14.399,109.0,42.0,19.0,20.0,1.03
AUS,2023-07-01,8059,20.452,18.791,0.01253,13.799,77.0,31.0,19.0,20.0,1.0226
AUS,2023-08-01,8137,21.226,16.508,0.01106,14.322,135.0,66.0,19.0,20.0,1.0613
AUS,2023-09-01,7831,21.067,16.94,0.00843,15.203,157.0,86.0,19.0,20.0,1.0533
AUS,2023-10-01,8357,21.161,14.34,0.00215,15.163,157.0,67.0,19.0,20.0,1.0581
AUS,2023-11-01,7714,20.867,11.738,0.00104,15.11,99.0,49.0,19.0,20.0,1.0433
AUS,2023-12-01,7664,21.387,11.22,0.00261,15.211,128.0,57.0,19.0,20.0,1.0694
AUS,2024-01-01,6692,20.419,19.444,0.03347,15.723,86.0,42.0,19.0,20.0,1.021
AUS,2024-02-01,5873,19.793,9.704,0.00358,14.551,47.0,18.0,19.0,20.0,0.9897
AUS,2024-03-01,7154,20.097,16.455,0.00713,15.091,59.0,33.0,19.0,20.0,1.0048
AUS,2024-04-01,7304,21.033,16.938,0.00548,15.028,95.0,50.0,19.0,20.0,1.0517
AUS,2024-05-01,7852,22.161,31.664,0.01541,15.835,124.0,80.0,19.0,20.0,1.1081
AUS,2024-06-01,7551,20.067,21.825,0.00728,13.865,71.0,23.0,19.0,20.0,1.0033
AUS,2024-07-01,7754,20.774,27.341,0.02076,14.016,102.0,39.0,19.0,20.0,1.0387
AUS,2024-08-01,7157,20.742,16.711,0.00922,13.536,118.0,65.0,19.0,20.0,1.0371
AUS,2024-09-01,6816,20.433,9.468,0.00308,16.023,96.0,40.0,19.0,20.0,1.0217
AUS,2024-10-01,7398,20.903,9.671,0.00581,15.661,104.0,48.0,19.0,20.0,1.0452
AUS,2024-11-01,6861,20.867,11.137,0.00423,15.988,89.0,52.0,19.0,20.0,1.0433
AUS,2024-12-01,6932,20.581,17.156,0.00418,15.515,79.0,37.0,19.0,20.0,1.029
BNA,2023-01-01,7590,23.452,14.884,0.02332,14.817,124.0,28.0,21.0,23.0,1.0196
BNA,2023-02-01,6971,24.179,10.475,0.01736,15.353,143.0,34.0,21.0,23.0,1.0512
BNA,2023-03-01,8002,25.129,16.523,0.01587,15.543,248.0,100.0,21.0,23.0,1.0926
BNA,2023-04-01,7780,25.267,16.013,0.01234,14.957,212.0,87.0,21.0,23.0,1.0986
BNA,2023-05-01,8253,22.903,12.884,0.00727,15.558,98.0,21.0,21.0,23.0,0.9958
BNA,2023-06-01,7981,23.0,21.389,0.01666,15.929,72.0,9.0,21.0,23.0,1.0
BNA,2023-07-01,8322,27.032,23.003,0.02151,15.092,220.0,131.0,21.0,23.0,1.1753
BNA,2023-08-01,8203,24.839,13.287,0.01231,14.855,144.0,70.0,21.0,23.0,1.0799
BNA,2023-09-01,8064,25.5,13.021,0.0098,15.061,208.0,87.0,21.0,23.0,1.1087
BNA,2023-10-01,8923,27.161,10.888,0.00303,15.29,337.0,163.0,21.0,23.0,1.1809
BNA,2023-11-01,8161,27.4,9.636,0.00061,16.181,257.0,139.0,21.0,23.0,1.1913
BNA,2023-12-01,8239,25.452,12.239,0.0034,15.919,172.0,85.0,21.0,23.0,1.1066
BNA,2024-01-01,7556,23.871,21.206,0.06908,17.876,143.0,67.0,21.0,23.0,1.0379
BNA,2024-02-01,7010,23.655,8.564,0.00243,15.518,134.0,59.0,21.0,23.0,1.0285
BNA,2024-03-01,8287,23.806,13.54,0.007,15.069,100.0,40.0,21.0,23.0,1.0351
BNA,2024-04-01,8282,24.667,12.7,0.00386,13.997,215.0,80.0,21.0,23.0,1.0725
BNA,2024-05-01,8811,27.0,23.699,0.00874,14.863,397.0,189.0,21.0,23.0,1.1739
BNA,2024-06-01,8899,26.7,19.2,0.01034,14.753,279.0,132.0,21.0,23.0,1.1609
BNA,2024-07-01,9145,27.419,21.691,0.0175,14.882,300.0,158.0,21.0,23.0,1.1921
BNA,2024-08-01,8770,26.065,15.066,0.01722,16.084,332.0,148.0,21.0,23.0,1.1332
BNA,2024-09-01,8290,26.233,10.442,0.00495,16.129,300.0,137.0,21.0,23.0,1.1406
BNA,2024-10-01,8985,27.871,8.285,0.00768,15.954,404.0,206.0,21.0,23.0,1.2118
BNA,2024-11-01,8114,23.733,8.52,0.00246,15.557,129.0,28.0,21.0,23.0,1.0319
BNA,2024-12-01,8071,25.161,13.839,0.00421,16.31,221.0,102.0,21.0,23.0,1.094
BOS,2023-01-01,10871,36.645,16.369,0.01444,22.562,181.0,81.0,31.0,35.0,1.047
BOS,2023-02-01,10594,35.786,17.076,0.02256,22.095,177.0,53.0,31.0,35.0,1.0224
BOS,2023-03-01,12339,33.71,16.23,0.02456,20.334,222.0,10.0,31.0,35.0,0.9631
BOS,2023-04-01,12069,36.067,16.456,0.014,18.818,220.0,75.0,31.0,35.0,1.0305
BOS,2023-05-01,12428,37.258,12.626,0.00402,20.069,376.0,165.0,31.0,35.0,1.0645
BOS,2023-06-01,11781,40.333,22.393,0.02657,20.212,444.0,176.0,31.0,35.0,1.1524
BOS,2023-07-01,12133,41.516,32.19,0.05192,22.681,514.0,243.0,31.0,35.0,1.1862
BOS,2023-08-01,12389,42.677,21.05,0.0138,21.712,515.0,272.0,31.0,35.0,1.2194
BOS,2023-09-01,11742,38.733,24.644,0.03313,18.61,494.0,182.0,31.0,35.0,1.1067
BOS,2023-10-01,12369,40.645,12.704,0.00154,19.139,598.0,233.0,31.0,35.0,1.1613
BOS,2023-11-01,11142,37.533,10.027,0.00099,18.804,322.0,132.0,31.0,35.0,1.0724
BOS,2023-12-01,10660,39.871,14.348,0.00779,19.033,296.0,156.0,31.0,35.0,1.1392
BOS,2024-01-01,10134,38.323,19.434,0.03207,22.062,234.0,106.0,31.0,35.0,1.0949
BOS,2024-02-01,10118,37.621,10.67,0.01077,19.318,268.0,91.0,31.0,35.0,1.0749
BOS,2024-03-01,11324,38.258,13.16,0.00556,18.72,407.0,115.0,31.0,35.0,1.0931
BOS,2024-04-01,11591,41.167,14.493,0.01035,19.78,604.0,270.0,31.0,35.0,1.1762
BOS,2024-05-01,12659,39.516,17.145,0.00703,19.175,502.0,223.0,31.0,35.0,1.129
BOS,2024-06-01,12568,41.767,19.207,0.0156,21.393,592.0,311.0,31.0,35.0,1.1933
BOS,2024-07-01,12953,42.774,22.19,0.02856,21.473,652.0,377.0,31.0,35.0,1.2221
BOS,2024-08-01,13215,44.839,22.712,0.03693,21.95,698.0,434.0,31.0,35.0,1.2811
BOS,2024-09-01,12359,39.033,12.011,0.00388,19.356,506.0,208.0,31.0,35.0,1.1152
BOS,2024-10-01,13035,39.613,8.823,0.00759,20.897,587.0,250.0,31.0,35.0,1.1318
BOS,2024-11-01,11756,39.133,9.735,0.00068,20.469,495.0,180.0,31.0,35.0,1.1181
BOS,2024-12-01,11778,35.645,18.337,0.01409,22.431,252.0,75.0,31.0,35.0,1.0184
BWI,2023-01-01,7393,26.226,14.301,0.01407,13.442,148.0,21.0,23.0,26.0,1.0087
BWI,2023-02-01,6681,26.571,10.473,0.00943,13.507,146.0,29.0,23.0,26.0,1.022
