period,total_incomplete,within_18_weeks,over_18_weeks,over_52_weeks,over_65_weeks,over_78_weeks,over_104_weeks,median_wait_weeks,new_periods,completed_pathways,unreported_removals,total_removals
2007-08,4186974,2395656,1791318,578682,,,,14.29,,1119858,,
2007-09,3997551,2364349,1633202,401725,,,,13.35,,1124467,,
2007-10,3939821,2337604,1602217,387161,,,,13.15,,1229902,,
2007-11,3921962,2269968,1651994,415215,,,,13.33,,1234148,,
2007-12,3853836,2173205,1680631,434180,,,,14.28,,987029,,
2008-01,3510437,2151167,1359270,306034,,,,12.28,,1209304,,
2008-02,3116073,2024628,1091445,253955,,,,10.52,,1131380,,
2008-03,3056710,2017806,1038904,240689,,,,9.83,,1007994,,
2008-04,2940270,2041274,898996,225860,,,,9.02,,1148689,,
2008-05,2871949,2103566,768383,187394,,,,8.09,,1035246,,
2008-06,2743336,2126177,617159,149029,,,,7.41,,1101393,,
2008-07,2641644,2142703,498941,118801,,,,6.93,,1160408,,
2008-08,2675732,2155168,520564,140727,,,,7.27,,978420,,
2008-09,2633591,2162608,470983,144213,,,,6.80,,1142375,,
2008-10,2474846,2104538,370308,83601,,,,6.23,,1203339,,
2008-11,2432758,2082990,349768,93080,,,,6.26,,1103067,,
2008-12,2345732,1998655,347077,79418,,,,6.94,,1041859,,
2009-01,2303305,1969144,334161,82232,,,,6.73,,1129849,,
2009-02,2310322,2013965,296357,50678,,,,5.72,,1043523,,
2009-03,2360453,2067346,293107,47013,,,,5.56,,1222884,,
2009-04,2417946,2167437,250509,31800,,,,5.72,,1135122,,
2009-05,2444901,2194642,250259,31065,,,,5.74,,1094532,,
2009-06,2482691,2246375,236316,31628,,,,5.61,,1280318,,
2009-07,2481566,2241908,239658,32563,,,,5.76,,1276210,,
2009-08,2459949,2218857,241092,31608,,,,6.05,,1086440,,
2009-09,2428692,2191974,236718,31756,,,,5.93,,1257165,,
2009-10,2376360,2147615,228745,23388,,,,5.69,,1237604,,
2009-11,2337575,2114966,222609,21619,,,,5.71,,1227055,,
2009-12,2365316,2128078,237238,20792,,,,6.49,,1089904,,
2010-01,2315060,2075443,239617,20737,,,,6.55,,1098713,,
2010-02,2337098,2109462,227636,18681,,,,5.31,,1146611,,
2010-03,2420525,2205542,214983,18494,,,,5.24,,1330771,,
2010-04,2508495,2290852,217643,21098,,,,5.63,,1130801,,
2010-05,2573895,2364484,209411,18458,,,,5.53,,1150595,,
2010-06,2569098,2347510,221588,18221,,,,5.68,,1283641,,
2010-07,2656614,2413409,243205,19585,,,,5.80,,1253923,,
2010-08,2654900,2391511,263389,20855,,,,6.23,,1163055,,
2010-09,2590970,2341244,249726,13442,,,,6.02,,1261045,,
2010-10,2571819,2320939,250880,14254,,,,5.86,,1187485,,
2010-11,2526792,2274528,252264,13568,,,,5.86,,1269229,,
2010-12,2411293,2135754,275539,14671,,,,6.91,,1002574,,
2011-01,2369585,2093487,276098,14222,,,,6.52,,1135975,,
2011-02,2441735,2164846,276889,14880,,,,5.48,,1111556,,
2011-03,2455424,2196360,259064,14355,,,,5.45,,1290590,,
2011-04,2473680,2237539,236141,13434,,,,6.01,,1010131,,
2011-05,2544162,2318419,225743,12536,,,,6.13,,1174473,,
2011-06,2550720,2324293,226427,13257,,,,5.65,,1259294,,
2011-07,2611906,2364495,247411,19937,,,,5.76,,1154455,,
2011-08,2614998,2369340,245658,19938,,,,6.17,,1176824,,
2011-09,2597388,2353826,243562,20097,,,,6.04,,1221342,,
2011-10,2567505,2333475,234030,11132,,,,5.73,,1189446,,
2011-11,2500701,2282411,218290,7324,,,,5.72,,1268595,,
2011-12,2385147,2180122,205025,6071,,,,6.31,,1035844,,
2012-01,2358616,2174872,183744,5898,,,,5.93,,1183200,,
2012-02,2381172,2205482,175690,5653,,,,5.18,,1145024,,
